number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.9596550755128157,2026-04-27 16:42:21.553575,2026-04-27 16:42:22.805042,0 days 00:00:01.251467,0.6624074561769746,3.005575058716044,0.08960785365368121,10,2,687,0.0017073967431528124,2.915443189153755,0.8394633936788146,186,COMPLETE
1,0.9787834108010328,2026-04-27 16:42:22.805595,2026-04-27 16:42:23.812443,0 days 00:00:01.006848,0.6849356442713105,2.6237821581611893,0.1827602783178572,3,2,1121,0.00541524411940254,0.016480446427978974,0.9329770563201687,1120,COMPLETE
2,0.9855031004645559,2026-04-27 16:42:23.813102,2026-04-27 16:42:25.260626,0 days 00:00:01.447524,0.7168578594140872,0.9983689107917987,0.06252287916406214,5,4,761,0.06672367170464209,1.3826232179369866,0.6557975442608167,759,COMPLETE
3,0.9794818179835952,2026-04-27 16:42:25.261158,2026-04-27 16:42:28.178153,0 days 00:00:02.916995,0.6682096494749166,4.041986740582305,0.011492999300221412,7,1,869,6.24513957474307,7.286653737491043,0.8430179407605753,868,COMPLETE
4,0.974977775988302,2026-04-27 16:42:28.179199,2026-04-27 16:42:28.861650,0 days 00:00:00.682451,0.6488152939379115,1.2938999080000846,0.07766184280392888,3,5,596,0.0013726318898045872,4.33792069749094,0.7760609974958405,594,COMPLETE
5,0.9822665148817824,2026-04-27 16:42:28.862239,2026-04-27 16:42:30.073863,0 days 00:00:01.211624,0.6739417822102108,4.474136752138244,0.04749239763680407,5,10,1061,1.2604664585649463,5.727904470799624,0.8186841117373118,902,COMPLETE
6,0.9678133112241221,2026-04-27 16:42:30.074385,2026-04-27 16:42:36.910894,0 days 00:00:06.836509,0.6180909155642152,4.143687545759647,0.01303561122512888,10,4,977,0.03586816498627549,0.01217295809836997,0.678393144967658,973,COMPLETE
7,0.9848133983283912,2026-04-27 16:42:36.911425,2026-04-27 16:42:38.494467,0 days 00:00:01.583042,0.9208787923016158,0.993578407670862,0.05082341959721458,5,1,664,8.862326508576256,1.227380098785297,0.6563696899899051,663,COMPLETE
8,0.9744759450336592,2026-04-27 16:42:38.495057,2026-04-27 16:42:39.533352,0 days 00:00:01.038295,0.9085081386743783,4.315517129377968,0.08310795711416077,9,1,207,0.02715581955282941,0.0029072088906598446,0.8916028672163949,206,COMPLETE
9,0.9774884977496033,2026-04-27 16:42:39.533869,2026-04-27 16:42:41.425505,0 days 00:00:01.891636,0.7300733288106988,2.3610746258097466,0.012097379927033842,5,8,1010,0.3550012525851162,3.538758864779242,0.7243929286862648,1009,COMPLETE
