target,kind,n_trials,tuning_seconds,val_objective,val_objective_metric,test_r2,test_rmse,test_mape,best_n_estimators,best_max_depth,best_learning_rate,test_auc,test_f1,test_accuracy
range_km,regressor,50,135.2790032089979,0.999229716639205,r2,0.9992651644877346,0.3278314460586335,0.021994097906979166,1064,8,0.024780897728712722,,,
energy_margin_raw_pct,regressor,50,235.98252983298153,0.996412279441502,r2,0.9956460937913992,47.09343180970543,0.13142260654070198,1084,7,0.03625216186983031,,,
slope_capability_deg,regressor,50,172.61513054202078,0.9885605704267069,r2,0.9877064588145814,0.8988943037671389,36763093515333.04,1456,7,0.023662641128950918,,,
total_mass_kg,regressor,50,76.40295637500822,0.9997456806121426,r2,0.999749150155174,0.31605353990814417,0.005646909442364433,1409,3,0.027793380768579862,,,
motor_torque_ok,classifier,50,15.268430124997394,0.9966155871016263,auc,,,,108,9,0.06658580135575984,0.9807706579982485,0.9986137366099559,0.9972361809045226
