scenario_family,n,range_km_bw_mae,range_km_bw_relerr_p50,range_km_bw_relerr_p90,energy_margin_raw_pct_bw_mae,energy_margin_raw_pct_bw_relerr_p50,energy_margin_raw_pct_bw_relerr_p90,peak_motor_torque_nm_bw_mae,peak_motor_torque_nm_bw_relerr_p50,peak_motor_torque_nm_bw_relerr_p90,sinkage_max_m_bw_mae,sinkage_max_m_bw_relerr_p50,sinkage_max_m_bw_relerr_p90,motor_torque_ok_bw_flip_frac,range_km_bw_corr_mae,range_km_bw_corr_relerr_p50,range_km_bw_corr_relerr_p90,energy_margin_raw_pct_bw_corr_mae,energy_margin_raw_pct_bw_corr_relerr_p50,energy_margin_raw_pct_bw_corr_relerr_p90,peak_motor_torque_nm_bw_corr_mae,peak_motor_torque_nm_bw_corr_relerr_p50,peak_motor_torque_nm_bw_corr_relerr_p90,sinkage_max_m_bw_corr_mae,sinkage_max_m_bw_corr_relerr_p50,sinkage_max_m_bw_corr_relerr_p90,motor_torque_ok_bw_corr_flip_frac
crater_rim_survey,199,0.0,0.0,0.0,24.827691217136728,0.021659548407445307,0.1330816448480608,0.08635196117024242,0.0713862038811701,0.19257536120718746,0.004544714485626941,0.8007944535289331,2.645159099789649,0.3015075376884422,0.0,0.0,0.0,5.98361209695765,0.004801221813140112,0.02787098733129494,0.06978495950031122,0.06008503410775636,0.21026395339975454,0.0009805044834290588,0.12554683041451978,0.43541427095147023,0.0
equatorial_mare_traverse,199,0.0,0.0,0.0,27.96974821191278,0.009147461695630747,0.05162356004462051,0.08580445807779565,0.08566578026359742,0.23342255532208442,0.0038699409971408496,0.6337709012698772,2.018203609352932,0.12060301507537688,0.0,0.0,0.0,7.022612541454963,0.0030773396310331677,0.019131746198136554,0.06756007354681767,0.076898392992423,0.2712301919557865,0.0008977000129359428,0.11596957276916312,0.39609884438949283,0.0
highland_slope_capability,200,0.0,0.0,0.0,44.500704924711314,0.025870540781324843,0.20917917144557255,0.14650341608448578,0.0719176339020077,0.3356636784783966,0.004894149618759177,0.8585769279413185,3.26393615917691,0.565,0.0,0.0,0.0,14.981748439944361,0.00730315868862459,0.06686300966260754,0.07980194301283,0.051314544401502,0.1783494595385987,0.0010397118941003077,0.12982617931292706,0.7380241424384408,0.01
polar_prospecting,200,0.0,0.0,0.0,2.346301091294102,0.009637497795027924,0.10993184236000195,0.10801234146810422,0.07396092172033372,0.22833039614364295,0.004611826201768528,0.83157334856995,2.7077189263111037,0.37,0.0,0.0,0.0,0.5901056988601858,0.002340788332268317,0.036000032726238654,0.07009743836052804,0.05796450447670008,0.16660939653288273,0.001018585672706877,0.11279763170693963,0.6026187282397955,0.005
