target,scenario_family,n,nominal,empirical,mean_width,median_width,crossing_rate,repair
range_km,__all__,3933,0.8999999999999999,0.8520213577421816,13.515448570251465,13.730531692504883,0.27256547165013983,raw
range_km,crater_rim_survey,963,0.8999999999999999,0.8390446521287642,22.180397033691406,23.214807510375977,0.2616822429906542,raw
range_km,equatorial_mare_traverse,1000,0.8999999999999999,0.776,5.258054256439209,1.837394118309021,0.323,raw
range_km,highland_slope_capability,1012,0.8999999999999999,0.8596837944664032,17.827367782592773,18.608566284179688,0.18181818181818182,raw
range_km,polar_prospecting,958,0.8999999999999999,0.9363256784968684,8.869714736938477,6.655616760253906,0.3267223382045929,raw
range_km,__all__,3933,0.8999999999999999,0.9193999491482329,13.561979293823242,13.730531692504883,0.27256547165013983,sorted
range_km,crater_rim_survey,963,0.8999999999999999,0.9169262720664589,22.213972091674805,23.316818237304688,0.2616822429906542,sorted
range_km,equatorial_mare_traverse,1000,0.8999999999999999,0.882,5.368779182434082,1.8920540809631348,0.323,sorted
range_km,highland_slope_capability,1012,0.8999999999999999,0.9169960474308301,17.84603500366211,18.679153442382812,0.18181818181818182,sorted
range_km,polar_prospecting,958,0.8999999999999999,0.9634655532359081,8.891695976257324,6.655616760253906,0.3267223382045929,sorted
energy_margin_raw_pct,__all__,3933,0.8999999999999999,0.8660055936943809,250.20465087890625,87.61715698242188,0.20925502161200102,raw
energy_margin_raw_pct,crater_rim_survey,963,0.8999999999999999,0.8639667705088265,227.80491638183594,82.85162353515625,0.23260643821391486,raw
energy_margin_raw_pct,equatorial_mare_traverse,1000,0.8999999999999999,0.863,331.9610290527344,105.42706298828125,0.222,raw
energy_margin_raw_pct,highland_slope_capability,1012,0.8999999999999999,0.8636363636363636,331.2623596191406,111.91961669921875,0.16403162055335968,raw
energy_margin_raw_pct,polar_prospecting,958,0.8999999999999999,0.8736951983298539,101.75385284423828,61.7100944519043,0.22025052192066805,raw
energy_margin_raw_pct,__all__,3933,0.8999999999999999,0.9181286549707602,252.79873657226562,88.75392150878906,0.20925502161200102,sorted
energy_margin_raw_pct,crater_rim_survey,963,0.8999999999999999,0.9158878504672897,231.60935974121094,87.1864013671875,0.23260643821391486,sorted
energy_margin_raw_pct,equatorial_mare_traverse,1000,0.8999999999999999,0.912,334.9051513671875,105.59806060791016,0.222,sorted
energy_margin_raw_pct,highland_slope_capability,1012,0.8999999999999999,0.8992094861660079,333.4823913574219,112.62890625,0.16403162055335968,sorted
energy_margin_raw_pct,polar_prospecting,958,0.8999999999999999,0.9467640918580376,103.16107940673828,62.98419952392578,0.22025052192066805,sorted
slope_capability_deg,__all__,3933,0.8999999999999999,0.8024408848207475,2.027639627456665,1.6733107566833496,0.205441139079583,raw
slope_capability_deg,crater_rim_survey,963,0.8999999999999999,0.8120456905503635,2.0083489418029785,1.6446027755737305,0.2087227414330218,raw
slope_capability_deg,equatorial_mare_traverse,1000,0.8999999999999999,0.799,2.02585506439209,1.6534674167633057,0.215,raw
slope_capability_deg,highland_slope_capability,1012,0.8999999999999999,0.7924901185770751,2.015316963195801,1.686506748199463,0.21146245059288538,raw
slope_capability_deg,polar_prospecting,958,0.8999999999999999,0.8068893528183716,2.0619113445281982,1.6953926086425781,0.18580375782881003,raw
slope_capability_deg,__all__,3933,0.8999999999999999,0.856089499110094,2.0932981967926025,1.7035918235778809,0.205441139079583,sorted
slope_capability_deg,crater_rim_survey,963,0.8999999999999999,0.857736240913811,2.0759544372558594,1.6872482299804688,0.2087227414330218,sorted
slope_capability_deg,equatorial_mare_traverse,1000,0.8999999999999999,0.862,2.0920181274414062,1.7087392807006836,0.215,sorted
slope_capability_deg,highland_slope_capability,1012,0.8999999999999999,0.841897233201581,2.0798842906951904,1.7080440521240234,0.21146245059288538,sorted
slope_capability_deg,polar_prospecting,958,0.8999999999999999,0.8632567849686847,2.126237154006958,1.7183201313018799,0.18580375782881003,sorted
total_mass_kg,__all__,3933,0.8999999999999999,0.8764302059496567,1.4834461212158203,1.2840576171875,0.21408593948639715,raw
total_mass_kg,crater_rim_survey,963,0.8999999999999999,0.8836967808930426,1.4527662992477417,1.27960205078125,0.21495327102803738,raw
total_mass_kg,equatorial_mare_traverse,1000,0.8999999999999999,0.874,1.4917559623718262,1.3055992126464844,0.228,raw
total_mass_kg,highland_slope_capability,1012,0.8999999999999999,0.8784584980237155,1.516385793685913,1.2711944580078125,0.1966403162055336,raw
total_mass_kg,polar_prospecting,958,0.8999999999999999,0.8695198329853863,1.4708157777786255,1.2828216552734375,0.21711899791231734,raw
total_mass_kg,__all__,3933,0.8999999999999999,0.919908466819222,1.5361467599868774,1.320840835571289,0.21408593948639715,sorted
total_mass_kg,crater_rim_survey,963,0.8999999999999999,0.9231568016614745,1.5039716958999634,1.3087482452392578,0.21495327102803738,sorted
total_mass_kg,equatorial_mare_traverse,1000,0.8999999999999999,0.923,1.5512597560882568,1.3476581573486328,0.228,sorted
total_mass_kg,highland_slope_capability,1012,0.8999999999999999,0.9199604743083004,1.5676602125167847,1.3042793273925781,0.1966403162055336,sorted
total_mass_kg,polar_prospecting,958,0.8999999999999999,0.9133611691022965,1.5194238424301147,1.3135223388671875,0.21711899791231734,sorted
