rover,algorithm,target,predicted,evaluator,abs_error,rel_error
Pragyan,ridge,range_km,-7.612249061814476,0.5,-8.112249061814476,-16.22449812362895
Pragyan,ridge,energy_margin_raw_pct,56.37349293641944,100.20342554155582,-43.82993260513638,-0.43740952335965266
Pragyan,ridge,slope_capability_deg,4.498581447761783,2.8419808603791825,1.6566005873826004,0.5829034989213733
Pragyan,ridge,total_mass_kg,22.039561881573455,22.308452404712813,-0.26889052313935835,-0.01205330241028075
Pragyan,random_forest,range_km,2.4965032596120498,0.5,1.9965032596120498,3.9930065192240995
Pragyan,random_forest,energy_margin_raw_pct,399.00618981922236,100.20342554155582,298.80276427766654,2.9819615713012593
Pragyan,random_forest,slope_capability_deg,7.486718613556283,2.8419808603791825,4.6447377531771,1.6343311166977355
Pragyan,random_forest,total_mass_kg,22.251704360906633,22.308452404712813,-0.056748043806180704,-0.0025437911503978774
Pragyan,xgboost,range_km,3.056241035461426,0.5,2.556241035461426,5.112482070922852
Pragyan,xgboost,energy_margin_raw_pct,88.23665618896484,100.20342554155582,-11.966769352590973,-0.11942475307521477
Pragyan,xgboost,slope_capability_deg,5.057425498962402,2.8419808603791825,2.21544463858322,0.7795424203833768
Pragyan,xgboost,total_mass_kg,22.09545135498047,22.308452404712813,-0.21300104973234468,-0.009547997587109483
Pragyan,mlp_joint,range_km,3.4147962131654133,0.5,2.9147962131654133,5.8295924263308265
Pragyan,mlp_joint,energy_margin_raw_pct,-17.183880689381112,100.20342554155582,-117.38730623093693,-1.1714899525291649
Pragyan,mlp_joint,slope_capability_deg,3.174717516465531,2.8419808603791825,0.3327366560863485,0.11707913333447086
Pragyan,mlp_joint,total_mass_kg,22.24180752238172,22.308452404712813,-0.06664488233109367,-0.0029874274163910392
Pragyan,logreg,motor_torque_ok,0.6259672230503307,1.0,-0.3740327769496693,
Pragyan,xgboost,motor_torque_ok,0.7378891110420227,1.0,-0.2621108889579773,
Yutu-2,ridge,range_km,2.8086971521308293,0.2,2.608697152130829,13.043485760654145
Yutu-2,ridge,energy_margin_raw_pct,1378.6265199306588,649.7887812270878,728.837738703571,1.1216533122150922
Yutu-2,ridge,slope_capability_deg,20.30592435143084,20.97896300311567,-0.6730386516848306,-0.032081597721721276
Yutu-2,ridge,total_mass_kg,68.78290787531593,70.4529657566495,-1.6700578813335767,-0.023704578840614002
Yutu-2,random_forest,range_km,2.7806127889030563,0.2,2.580612788903056,12.90306394451528
Yutu-2,random_forest,energy_margin_raw_pct,877.0037167462141,649.7887812270878,227.21493551912624,0.34967506685794764
Yutu-2,random_forest,slope_capability_deg,21.216200248841304,20.97896300311567,0.23723724572563398,0.011308339963724658
Yutu-2,random_forest,total_mass_kg,68.18658139201226,70.4529657566495,-2.266384364637247,-0.03216875741562861
Yutu-2,xgboost,range_km,3.549957752227783,0.2,3.349957752227783,16.749788761138912
Yutu-2,xgboost,energy_margin_raw_pct,912.316650390625,649.7887812270878,262.52786916353716,0.4040203166754722
Yutu-2,xgboost,slope_capability_deg,20.252588272094727,20.97896300311567,-0.7263747310209432,-0.03462395786260104
Yutu-2,xgboost,total_mass_kg,69.25784301757812,70.4529657566495,-1.1951227390713797,-0.016963412771002922
Yutu-2,mlp_joint,range_km,2.0806940104289033,0.2,1.8806940104289034,9.403470052144517
