algorithm,target,auc_observed,auc_threshold,passes,r2_observed,r2_threshold
mlp_joint,energy_margin_raw_pct,,,True,0.9957558829942379,0.95
random_forest,energy_margin_raw_pct,,,True,0.9702401454863221,0.95
ridge,energy_margin_raw_pct,,,False,0.6612723906127913,0.95
xgboost,energy_margin_raw_pct,,,True,0.9868862676548352,0.95
logreg,motor_torque_ok,0.9881791749702732,0.9,True,,
xgboost,motor_torque_ok,0.9975980287538075,0.9,True,,
mlp_joint,range_km,,,True,0.9985201667971356,0.95
random_forest,range_km,,,True,0.9973780284921987,0.95
ridge,range_km,,,False,0.7693571818538549,0.95
xgboost,range_km,,,True,0.9980500462753805,0.95
mlp_joint,slope_capability_deg,,,True,0.9977651390805885,0.85
random_forest,slope_capability_deg,,,True,0.9318076227956981,0.85
ridge,slope_capability_deg,,,True,0.9166261140798049,0.85
xgboost,slope_capability_deg,,,True,0.9857389405705871,0.85
mlp_joint,total_mass_kg,,,True,0.9996687478740269,0.85
random_forest,total_mass_kg,,,True,0.9923477707217188,0.85
ridge,total_mass_kg,,,True,0.9973843038241956,0.85
xgboost,total_mass_kg,,,True,0.9991025995283234,0.85
