algorithm,target,fit_seconds
logreg,motor_torque_ok,0.040383457991993055
mlp_joint,joint,11.225801874999888
random_forest,energy_margin_raw_pct,7.297200624991092
random_forest,range_km,6.5570076659932965
random_forest,slope_capability_deg,6.82939699999406
random_forest,total_mass_kg,6.6034552909986814
ridge,energy_margin_raw_pct,0.0381040829961421
ridge,range_km,0.04053587499947753
ridge,slope_capability_deg,0.034315875003812835
ridge,total_mass_kg,0.03804029199818615
xgboost,energy_margin_raw_pct,1.3991926250018878
xgboost,motor_torque_ok,1.2274612500041258
xgboost,range_km,1.4032944580103504
xgboost,slope_capability_deg,1.394203917006962
xgboost,total_mass_kg,1.3956976250046864
