algorithm,target,auc_observed,auc_threshold,passes,r2_observed,r2_threshold
mlp_joint,energy_margin_raw_pct,,,True,0.9949803429273014,0.95
random_forest,energy_margin_raw_pct,,,True,0.9645257812728946,0.95
ridge,energy_margin_raw_pct,,,False,0.6634938104338904,0.95
xgboost,energy_margin_raw_pct,,,True,0.9836888604582379,0.95
logreg,motor_torque_ok,0.9875572778522141,0.9,True,,
xgboost,motor_torque_ok,0.9973666751609661,0.9,True,,
mlp_joint,range_km,,,True,0.9986225566900472,0.95
random_forest,range_km,,,True,0.9974779298143834,0.95
ridge,range_km,,,False,0.7688232820125324,0.95
xgboost,range_km,,,True,0.9980104350289528,0.95
mlp_joint,slope_capability_deg,,,True,0.9973472486812514,0.85
random_forest,slope_capability_deg,,,True,0.9260547220703924,0.85
ridge,slope_capability_deg,,,True,0.9096674929060731,0.85
xgboost,slope_capability_deg,,,True,0.98471442413483,0.85
mlp_joint,total_mass_kg,,,True,0.9995928852816054,0.85
random_forest,total_mass_kg,,,True,0.9946143067769223,0.85
ridge,total_mass_kg,,,True,0.997470292683661,0.85
xgboost,total_mass_kg,,,True,0.9992815777363724,0.85
