rover,algorithm,target,predicted,evaluator,abs_error,rel_error,is_primary
Pragyan,ridge,range_km,-7.579727276112617,0.5,-8.079727276112617,-16.159454552225235,False
Pragyan,ridge,energy_margin_raw_pct,78.70078334366639,100.20342554155582,-21.50264219788943,-0.21458989133033152,False
Pragyan,ridge,slope_capability_deg,4.491371016472755,2.8419808603791825,1.6493901560935722,0.5803663842667496,True
Pragyan,ridge,total_mass_kg,21.55757342342986,22.308452404712813,-0.7508789812829519,-0.033658945392568945,True
Pragyan,random_forest,range_km,2.5891889025709345,0.5,2.0891889025709345,4.178377805141869,False
Pragyan,random_forest,energy_margin_raw_pct,380.251605230953,100.20342554155582,280.04817968939716,2.7947964670455017,False
Pragyan,random_forest,slope_capability_deg,7.748312911285015,2.8419808603791825,4.906332050905832,1.7263775837854236,True
Pragyan,random_forest,total_mass_kg,23.550670686697625,22.308452404712813,1.2422182819848118,0.055683749793526,True
Pragyan,xgboost,range_km,2.5929617881774902,0.5,2.0929617881774902,4.1859235763549805,False
Pragyan,xgboost,energy_margin_raw_pct,102.39122772216797,100.20342554155582,2.1878021806121524,0.021833606673504778,False
Pragyan,xgboost,slope_capability_deg,5.619744777679443,2.8419808603791825,2.777763917300261,0.9774041606070656,True
Pragyan,xgboost,total_mass_kg,22.749248504638672,22.308452404712813,0.44079609992585844,0.01975915190928875,True
Pragyan,mlp_joint,range_km,4.584318340283197,0.5,4.084318340283197,8.168636680566394,False
Pragyan,mlp_joint,energy_margin_raw_pct,-148.06624430196223,100.20342554155582,-248.26966984351805,-2.4776565122572283,False
Pragyan,mlp_joint,slope_capability_deg,2.4294946138387097,2.8419808603791825,-0.41248624654047283,-0.1451404026997698,True
Pragyan,mlp_joint,total_mass_kg,22.629332708791857,22.308452404712813,0.32088030407904355,0.014383799389475148,True
Pragyan,logreg,motor_torque_ok,0.5413148100364038,1.0,-0.4586851899635962,,True
Pragyan,xgboost,motor_torque_ok,0.6611926555633545,1.0,-0.3388073444366455,,True
Yutu-2,ridge,range_km,2.8882754165055395,0.2,2.6882754165055394,13.441377082527696,False
Yutu-2,ridge,energy_margin_raw_pct,1388.4428249140326,649.7887812270878,738.6540436869448,1.1367602289039833,False
