algorithm,target,fit_seconds
logreg,motor_torque_ok,0.05287524999585003
mlp_joint,joint,5.947354457995971
random_forest,energy_margin_raw_pct,4.141075749997981
random_forest,range_km,3.735772707994329
random_forest,slope_capability_deg,4.05485045799287
random_forest,total_mass_kg,4.1613195829995675
ridge,energy_margin_raw_pct,0.023362666994216852
ridge,range_km,0.026654416011297144
ridge,slope_capability_deg,0.022715708997566253
ridge,total_mass_kg,0.02480279200244695
xgboost,energy_margin_raw_pct,1.110212750005303
xgboost,motor_torque_ok,1.434554459003266
xgboost,range_km,1.0859333340049488
xgboost,slope_capability_deg,1.1210733750049258
xgboost,total_mass_kg,1.1168302499863785
