target,scenario_family,n,nominal,empirical,mean_width,median_width,crossing_rate,repair
range_km,__all__,3963,0.8999999999999999,0.8503658844309866,13.288043975830078,13.391149520874023,0.2831188493565481,raw
range_km,crater_rim_survey,967,0.8999999999999999,0.827300930713547,22.06160545349121,23.185441970825195,0.281282316442606,raw
range_km,equatorial_mare_traverse,1001,0.8999999999999999,0.7732267732267732,5.011157989501953,1.7828874588012695,0.35064935064935066,raw
range_km,highland_slope_capability,1030,0.8999999999999999,0.874757281553398,17.580556869506836,18.301990509033203,0.17475728155339806,raw
range_km,polar_prospecting,965,0.8999999999999999,0.927461139896373,8.500317573547363,5.95452880859375,0.3305699481865285,raw
range_km,__all__,3963,0.8999999999999999,0.916477416098915,13.337733268737793,13.420866012573242,0.2831188493565481,sorted
range_km,crater_rim_survey,967,0.8999999999999999,0.9172699069286453,22.097030639648438,23.203357696533203,0.281282316442606,sorted
range_km,equatorial_mare_traverse,1001,0.8999999999999999,0.8721278721278721,5.132735729217529,1.8673709630966187,0.35064935064935066,sorted
range_km,highland_slope_capability,1030,0.8999999999999999,0.9213592233009709,17.597990036010742,18.35342025756836,0.17475728155339806,sorted
range_km,polar_prospecting,965,0.8999999999999999,0.9564766839378238,8.524155616760254,5.983966827392578,0.3305699481865285,sorted
energy_margin_raw_pct,__all__,3963,0.8999999999999999,0.8831693161746151,362.38177490234375,130.955322265625,0.16124148372445118,raw
energy_margin_raw_pct,crater_rim_survey,967,0.8999999999999999,0.8821096173733195,339.300537109375,132.96490478515625,0.1737331954498449,raw
energy_margin_raw_pct,equatorial_mare_traverse,1001,0.8999999999999999,0.8741258741258742,472.59185791015625,202.681396484375,0.18981018981018982,raw
energy_margin_raw_pct,highland_slope_capability,1030,0.8999999999999999,0.8922330097087379,474.6249084472656,187.56214904785156,0.13689320388349516,raw
energy_margin_raw_pct,polar_prospecting,965,0.8999999999999999,0.883937823834197,151.3858184814453,87.01060485839844,0.14507772020725387,raw
energy_margin_raw_pct,__all__,3963,0.8999999999999999,0.9288417865253595,364.4797668457031,132.68246459960938,0.16124148372445118,sorted
energy_margin_raw_pct,crater_rim_survey,967,0.8999999999999999,0.9307135470527405,342.1867980957031,134.78616333007812,0.1737331954498449,sorted
energy_margin_raw_pct,equatorial_mare_traverse,1001,0.8999999999999999,0.9270729270729271,475.5516357421875,203.70245361328125,0.18981018981018982,sorted
energy_margin_raw_pct,highland_slope_capability,1030,0.8999999999999999,0.9300970873786408,476.28131103515625,188.20233154296875,0.13689320388349516,sorted
energy_margin_raw_pct,polar_prospecting,965,0.8999999999999999,0.927461139896373,152.27134704589844,87.41551208496094,0.14507772020725387,sorted
slope_capability_deg,__all__,3963,0.8999999999999999,0.873075952561191,15.69351863861084,15.637056350708008,0.12440070653545295,raw
slope_capability_deg,crater_rim_survey,967,0.8999999999999999,0.8634953464322648,15.698685646057129,15.420644760131836,0.13340227507755947,raw
slope_capability_deg,equatorial_mare_traverse,1001,0.8999999999999999,0.8801198801198801,15.579774856567383,15.368450164794922,0.10789210789210789,raw
slope_capability_deg,highland_slope_capability,1030,0.8999999999999999,0.8776699029126214,15.641831398010254,15.837836265563965,0.1262135922330097,raw
slope_capability_deg,polar_prospecting,965,0.8999999999999999,0.8704663212435233,15.86149787902832,15.814838409423828,0.1305699481865285,raw
slope_capability_deg,__all__,3963,0.8999999999999999,0.905627050214484,15.77875804901123,15.670694351196289,0.12440070653545295,sorted
slope_capability_deg,crater_rim_survey,967,0.8999999999999999,0.9007238883143743,15.80303955078125,15.477872848510742,0.13340227507755947,sorted
slope_capability_deg,equatorial_mare_traverse,1001,0.8999999999999999,0.9050949050949051,15.640235900878906,15.368450164794922,0.10789210789210789,sorted
slope_capability_deg,highland_slope_capability,1030,0.8999999999999999,0.9135922330097087,15.724288940429688,15.868642807006836,0.1262135922330097,sorted
slope_capability_deg,polar_prospecting,965,0.8999999999999999,0.9025906735751296,15.956256866455078,15.870124816894531,0.1305699481865285,sorted
total_mass_kg,__all__,3963,0.8999999999999999,0.8980570275044159,2.637424945831299,1.9345760345458984,0.1809235427706283,raw
total_mass_kg,crater_rim_survey,967,0.8999999999999999,0.8976215098241985,2.525376796722412,1.9130477905273438,0.19648397104446744,raw
total_mass_kg,equatorial_mare_traverse,1001,0.8999999999999999,0.8961038961038961,2.619752883911133,1.9706802368164062,0.17682317682317683,raw
total_mass_kg,highland_slope_capability,1030,0.8999999999999999,0.8990291262135922,2.7285478115081787,1.957021713256836,0.17572815533980582,raw
total_mass_kg,polar_prospecting,965,0.8999999999999999,0.8994818652849741,2.670775890350342,1.8942375183105469,0.17512953367875647,raw
total_mass_kg,__all__,3963,0.8999999999999999,0.9270754478930103,2.68388295173645,1.9805068969726562,0.1809235427706283,sorted
total_mass_kg,crater_rim_survey,967,0.8999999999999999,0.9307135470527405,2.578449249267578,1.9850349426269531,0.19648397104446744,sorted
total_mass_kg,equatorial_mare_traverse,1001,0.8999999999999999,0.922077922077922,2.6656389236450195,2.0054874420166016,0.17682317682317683,sorted
total_mass_kg,highland_slope_capability,1030,0.8999999999999999,0.9233009708737864,2.773477077484131,1.998922348022461,0.17572815533980582,sorted
total_mass_kg,polar_prospecting,965,0.8999999999999999,0.9326424870466321,2.712831974029541,1.9209251403808594,0.17512953367875647,sorted
