target,fit_seconds,n_train,n_val,n_test
range_km,40.4927657499793,32013,3868,3963
energy_margin_raw_pct,24.18762870799401,32013,3868,3963
slope_capability_deg,35.07178916601697,32013,3868,3963
total_mass_kg,34.40168808400631,32013,3868,3963
