target,kind,n_trials,tuning_seconds,val_objective,val_objective_metric,test_r2,test_rmse,test_mape,best_n_estimators,best_max_depth,best_learning_rate,test_auc,test_f1,test_accuracy
range_km,regressor,50,122.57101733300078,0.9991836307421814,r2,0.999274520211706,0.3249758305669194,0.021335621558882502,932,8,0.024780897728712722,,,
energy_margin_raw_pct,regressor,50,213.82391975000792,0.9949914767979228,r2,0.9960805518939385,44.352687376853595,0.13072623294666966,1047,7,0.04508964041815619,,,
slope_capability_deg,regressor,50,168.57126929200604,0.9941557554230408,r2,0.9944531203014172,0.5949745762569224,65066503079362.72,1321,6,0.032901890028283726,,,
total_mass_kg,regressor,50,104.48554687500291,0.9997755716660447,r2,0.9997874668871151,0.29111640095917585,0.005234646277961071,1347,3,0.05256105769909933,,,
motor_torque_ok,classifier,50,35.610399666999,0.9929418896683121,auc,,,,429,4,0.03805818581270537,0.9876401954967935,0.9960704778805932,0.9922071392659628
