number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.9842926708698166,2026-04-26 09:00:40.130149,2026-04-26 09:00:44.214530,0 days 00:00:04.084381,0.6624074561769746,3.005575058716044,0.08960785365368121,10,2,687,0.0017073967431528124,2.915443189153755,0.8394633936788146,515,COMPLETE
1,0.9868356674657677,2026-04-26 09:00:44.214560,2026-04-26 09:00:46.357258,0 days 00:00:02.142698,0.6849356442713105,2.6237821581611893,0.1827602783178572,3,2,1121,0.00541524411940254,0.016480446427978974,0.9329770563201687,1082,COMPLETE
2,0.9928230791736679,2026-04-26 09:00:46.357287,2026-04-26 09:00:48.260072,0 days 00:00:01.902785,0.7168578594140872,0.9983689107917987,0.06252287916406214,5,4,761,0.06672367170464209,1.3826232179369866,0.6557975442608167,760,COMPLETE
3,0.9899055583603275,2026-04-26 09:00:48.260109,2026-04-26 09:00:51.523926,0 days 00:00:03.263817,0.6682096494749166,4.041986740582305,0.011492999300221412,7,1,869,6.24513957474307,7.286653737491043,0.8430179407605753,868,COMPLETE
4,0.981306516817674,2026-04-26 09:00:51.523975,2026-04-26 09:00:52.542587,0 days 00:00:01.018612,0.6488152939379115,1.2938999080000846,0.07766184280392888,3,5,596,0.0013726318898045872,4.33792069749094,0.7760609974958405,595,COMPLETE
5,0.9922559422745633,2026-04-26 09:00:52.542618,2026-04-26 09:00:55.043984,0 days 00:00:02.501366,0.6739417822102108,4.474136752138244,0.04749239763680407,5,10,1061,1.2604664585649463,5.727904470799624,0.8186841117373118,980,COMPLETE
6,0.9845941493591113,2026-04-26 09:00:55.044042,2026-04-26 09:01:02.529071,0 days 00:00:07.485029,0.6180909155642152,4.143687545759647,0.01303561122512888,10,4,977,0.03586816498627549,0.01217295809836997,0.678393144967658,976,COMPLETE
7,0.9929862555677633,2026-04-26 09:01:02.529102,2026-04-26 09:01:04.376069,0 days 00:00:01.846967,0.9208787923016158,0.993578407670862,0.05082341959721458,5,1,664,8.862326508576256,1.227380098785297,0.6563696899899051,663,COMPLETE
8,0.9913274979051584,2026-04-26 09:01:04.376098,2026-04-26 09:01:05.841273,0 days 00:00:01.465175,0.9085081386743783,4.315517129377968,0.08310795711416077,9,1,207,0.02715581955282941,0.0029072088906598446,0.8916028672163949,206,COMPLETE
9,0.989761132919774,2026-04-26 09:01:05.841310,2026-04-26 09:01:08.404980,0 days 00:00:02.563670,0.7300733288106988,2.3610746258097466,0.012097379927033842,5,8,1010,0.3550012525851162,3.538758864779242,0.7243929286862648,1009,COMPLETE
10,0.9947403269646753,2026-04-26 09:01:08.405023,2026-04-26 09:01:13.827790,0 days 00:00:05.422767,0.9924283304357215,0.1989980303850737,0.02579364481890643,7,7,1429,7.801013744480624,0.3135697131356357,0.6071847502459278,1428,COMPLETE
11,0.9947941398236777,2026-04-26 09:01:13.827825,2026-04-26 09:01:19.469994,0 days 00:00:05.642169,0.9962928066797128,0.023367853513869802,0.023807634312747353,7,7,1495,7.392218112989306,0.29163991155219904,0.6097259194088174,1494,COMPLETE
12,0.9946663528214531,2026-04-26 09:01:19.470025,2026-04-26 09:01:24.935603,0 days 00:00:05.465578,0.9988599342221308,0.015535997573864957,0.023968552236191435,7,7,1458,1.7564221651730834,0.15055494946272555,0.6050785460502632,1456,COMPLETE
13,0.9946843168544515,2026-04-26 09:01:24.935634,2026-04-26 09:01:31.781828,0 days 00:00:06.846194,0.9942603012292255,0.09190109754132769,0.02619770539052082,8,7,1495,1.4143056719673865,0.19815924679531846,0.6013755413731107,1489,COMPLETE
14,0.9933030870765013,2026-04-26 09:01:31.781870,2026-04-26 09:01:36.190189,0 days 00:00:04.408319,0.853741514269993,1.6951653707119099,0.030594503962742933,8,9,1273,0.3561952467612387,0.39960471328550046,0.9984067957444854,958,COMPLETE
15,0.993880223663413,2026-04-26 09:01:36.190224,2026-04-26 09:01:40.225570,0 days 00:00:04.035346,0.9437731661608388,0.5242339894439421,0.018400550828965724,6,6,1298,3.149249952233708,0.043032344697271456,0.7190852606077679,1297,COMPLETE
16,0.9937606531107552,2026-04-26 09:01:40.225615,2026-04-26 09:01:45.920132,0 days 00:00:05.694517,0.8250051428101366,1.7919514239527097,0.03667604998501824,8,8,1270,0.4007273764691191,0.6741831816019791,0.7398929922464663,1266,COMPLETE
17,0.9939404530472898,2026-04-26 09:01:45.920193,2026-04-26 09:01:50.149605,0 days 00:00:04.229412,0.8734893671963152,0.6145483701281097,0.01836025878844076,6,6,1377,4.075332226532395,0.09742667005770335,0.6383744886047794,1376,COMPLETE
18,0.9937872052016169,2026-04-26 09:01:50.149644,2026-04-26 09:01:53.027051,0 days 00:00:02.877407,0.9574161886297863,0.2910436792313372,0.01844482500231795,9,10,466,9.406701927035371,0.045213030893208356,0.6924106883472467,465,COMPLETE
19,0.9940929551224438,2026-04-26 09:01:53.027083,2026-04-26 09:01:57.369936,0 days 00:00:04.342853,0.764088169035724,1.7228560355394582,0.036136436985130034,7,8,1191,0.6286097613918183,0.3724447166632406,0.7727431143998708,1187,COMPLETE
20,0.991491518748256,2026-04-26 09:01:57.369970,2026-04-26 09:01:59.034650,0 days 00:00:01.664680,0.8916140208975961,3.5835953820045923,0.13121025882778947,4,5,1402,0.1599670531875761,0.0011129709953152695,0.6318304387427114,758,COMPLETE
21,0.9946089204556995,2026-04-26 09:01:59.034682,2026-04-26 09:02:05.932886,0 days 00:00:06.898204,0.99763691494987,0.028345538121102173,0.02506523111038057,8,7,1464,2.271811451291676,0.23649450388337176,0.6053391488974321,1458,COMPLETE
22,0.9942196968376142,2026-04-26 09:02:05.932925,2026-04-26 09:02:13.418149,0 days 00:00:07.485224,0.9668867733462511,0.6608413857851274,0.02517377324047638,9,7,1483,1.1800363904360516,0.09547864805618865,0.6174331441847896,1292,COMPLETE
23,0.9945409873479257,2026-04-26 09:02:13.418190,2026-04-26 09:02:19.574865,0 days 00:00:06.156675,0.9717201750008196,1.0810806524959222,0.01594797367859363,8,9,1356,4.3713264078013205,1.0696927801824272,0.6802210286121898,1355,COMPLETE
24,0.9940567530414973,2026-04-26 09:02:19.574900,2026-04-26 09:02:23.267280,0 days 00:00:03.692380,0.9305714933739584,0.3600636831398079,0.031224841149112035,6,6,1194,0.8621090715259135,0.03628294690625192,0.6512724702232536,1193,COMPLETE
25,0.9944576931646839,2026-04-26 09:02:23.267312,2026-04-26 09:02:28.924428,0 days 00:00:05.657116,0.9768873005496606,0.004668973013015228,0.02208512190033264,7,7,1499,2.7798470779253273,0.4577408417297287,0.6137687463764613,1498,COMPLETE
26,0.9938344349086338,2026-04-26 09:02:28.924462,2026-04-26 09:02:33.865680,0 days 00:00:04.941218,0.8015593406136678,0.7372392132996786,0.04234715605772492,8,9,1184,9.306056342817987,0.23485835045542144,0.6988824955486097,1079,COMPLETE
27,0.9937014403818504,2026-04-26 09:02:33.865712,2026-04-26 09:02:38.177010,0 days 00:00:04.311298,0.8710913380496328,1.5781946702015803,0.014435723944911227,6,5,1334,0.17889690185849388,0.1487112465065108,0.6022939709725977,1333,COMPLETE
28,0.9935453229065289,2026-04-26 09:02:38.177094,2026-04-26 09:02:43.574149,0 days 00:00:05.397055,0.9378071475601025,2.2038010206953165,0.010114998908948823,9,8,896,2.140648100595939,1.83622700339819,0.7559629001230131,895,COMPLETE
29,0.9928052475126591,2026-04-26 09:02:43.574180,2026-04-26 09:02:51.644171,0 days 00:00:08.069991,0.998498057780716,3.2911569932216467,0.029865807683836166,10,4,1402,0.0051162545982266616,0.7113573180707791,0.6669694510375815,1038,COMPLETE
30,0.9937186869753792,2026-04-26 09:02:51.644207,2026-04-26 09:02:55.913574,0 days 00:00:04.269367,0.9053430891219206,1.3052217894731053,0.0572062936670908,7,3,1242,4.135241085753843,0.017747759017273077,0.6362703615979111,1074,COMPLETE
