number,value,datetime_start,datetime_complete,duration,params_colsample_bytree,params_gamma,params_learning_rate,params_max_depth,params_min_child_weight,params_n_estimators,params_reg_alpha,params_reg_lambda,params_subsample,user_attrs_best_iteration,state
0,0.9912887064801811,2026-04-26 09:07:10.005413,2026-04-26 09:07:11.330935,0 days 00:00:01.325522,0.6624074561769746,3.005575058716044,0.08960785365368121,10,2,687,0.0017073967431528124,2.915443189153755,0.8394633936788146,325,COMPLETE
1,0.9992038089553086,2026-04-26 09:07:11.330999,2026-04-26 09:07:11.739121,0 days 00:00:00.408122,0.6849356442713105,2.6237821581611893,0.1827602783178572,3,2,1121,0.00541524411940254,0.016480446427978974,0.9329770563201687,231,COMPLETE
2,0.9994773534636942,2026-04-26 09:07:11.739154,2026-04-26 09:07:13.079536,0 days 00:00:01.340382,0.7168578594140872,0.9983689107917987,0.06252287916406214,5,4,761,0.06672367170464209,1.3826232179369866,0.6557975442608167,680,COMPLETE
3,0.9989973425509262,2026-04-26 09:07:13.079574,2026-04-26 09:07:16.417135,0 days 00:00:03.337561,0.6682096494749166,4.041986740582305,0.011492999300221412,7,1,869,6.24513957474307,7.286653737491043,0.8430179407605753,868,COMPLETE
4,0.9996271275737347,2026-04-26 09:07:16.417168,2026-04-26 09:07:17.347512,0 days 00:00:00.930344,0.6488152939379115,1.2938999080000846,0.07766184280392888,3,5,596,0.0013726318898045872,4.33792069749094,0.7760609974958405,578,COMPLETE
5,0.9994408278761293,2026-04-26 09:07:17.347548,2026-04-26 09:07:18.498438,0 days 00:00:01.150890,0.6739417822102108,4.474136752138244,0.04749239763680407,5,10,1061,1.2604664585649463,5.727904470799624,0.8186841117373118,598,COMPLETE
6,0.994274332034278,2026-04-26 09:07:18.498469,2026-04-26 09:07:23.769836,0 days 00:00:05.271367,0.6180909155642152,4.143687545759647,0.01303561122512888,10,4,977,0.03586816498627549,0.01217295809836997,0.678393144967658,975,COMPLETE
7,0.9995142868715298,2026-04-26 09:07:23.769871,2026-04-26 09:07:25.091253,0 days 00:00:01.321382,0.9208787923016158,0.993578407670862,0.05082341959721458,5,1,664,8.862326508576256,1.227380098785297,0.6563696899899051,662,COMPLETE
8,0.9976798741540859,2026-04-26 09:07:25.091287,2026-04-26 09:07:25.886042,0 days 00:00:00.794755,0.9085081386743783,4.315517129377968,0.08310795711416077,9,1,207,0.02715581955282941,0.0029072088906598446,0.8916028672163949,199,COMPLETE
9,0.9995244803223201,2026-04-26 09:07:25.886115,2026-04-26 09:07:28.475065,0 days 00:00:02.588950,0.7300733288106988,2.3610746258097466,0.012097379927033842,5,8,1010,0.3550012525851162,3.538758864779242,0.7243929286862648,1009,COMPLETE
10,0.9997360892979437,2026-04-26 09:07:28.475096,2026-04-26 09:07:30.906141,0 days 00:00:02.431045,0.8144754354791038,0.23696217751263204,0.025137344588454093,3,7,1429,0.0011494954687780974,0.2846091629475052,0.751180619986081,1428,COMPLETE
11,0.999731158142843,2026-04-26 09:07:30.906172,2026-04-26 09:07:33.670001,0 days 00:00:02.763829,0.814249705614196,0.023981518406832686,0.023374412206397632,3,7,1495,0.0011068458067111067,0.2269506205467708,0.7482501209054793,1494,COMPLETE
12,0.9997298842091844,2026-04-26 09:07:33.670031,2026-04-26 09:07:36.165304,0 days 00:00:02.495273,0.8155245426273388,0.015542087542043885,0.023662641128950918,3,7,1458,0.0070347541225021975,0.13878912898358084,0.7382774980993067,1457,COMPLETE
13,0.9994510780672877,2026-04-26 09:07:36.165334,2026-04-26 09:07:41.796021,0 days 00:00:05.630687,0.8216565119174517,0.09193578409834442,0.025851586556092866,7,7,1495,0.005617307123414826,0.2649475920360232,0.6038932576378994,1494,COMPLETE
14,0.9996102220859143,2026-04-26 09:07:41.796055,2026-04-26 09:07:43.514258,0 days 00:00:01.718203,0.9978298864744675,1.69551097097669,0.029991169691550097,4,9,1273,0.0014085993585763552,0.3698537577333851,0.9984067957444854,863,COMPLETE
15,0.9997164478696564,2026-04-26 09:07:43.514287,2026-04-26 09:07:46.247654,0 days 00:00:02.733367,0.7675997745870428,0.5243965125221103,0.018199663981438467,4,6,1298,0.012802832970535378,0.03472244772965071,0.7553082698269054,1297,COMPLETE
16,0.9989578234834922,2026-04-26 09:07:46.247698,2026-04-26 09:07:48.221452,0 days 00:00:01.973754,0.8669169312890734,1.7919514239527097,0.03592564368681243,8,8,1270,0.2386157842701612,0.08458573884856921,0.7044935069283973,783,COMPLETE
17,0.9995787630200833,2026-04-26 09:07:48.221483,2026-04-26 09:07:51.744752,0 days 00:00:03.523269,0.7722379342500078,0.6147318404832334,0.018072696289849012,6,6,1377,0.003759279041963181,0.5071388072498377,0.7984644697875064,1372,COMPLETE
